,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.45,0.3,0.0,0.29,0.0,0.29,0.0,0.0,0.42,1.01,1.0,1.65,0.0,0.0,0.0,0.36,1.19,0
1,1,0.51,0.46,0.19,0.24,0.0,0.49,0.0,0.0,0.47,1.11,0.89,1.67,0.0,0.0,0.0,0.3,1.41,0
2,2,0.54,0.55,0.28,0.2,0.0,0.6,0.0,0.0,0.52,1.17,0.81,1.65,0.0,0.0,0.0,0.26,1.53,0
3,3,0.54,0.57,0.28,0.16,0.0,0.6,0.0,0.0,0.53,1.19,0.74,1.65,0.0,0.0,0.0,0.28,1.52,0
4,4,0.53,0.61,0.27,0.13,0.0,0.62,0.0,0.0,0.55,1.2,0.75,1.63,0.0,0.0,0.0,0.27,1.54,0
5,5,0.54,0.62,0.26,0.15,0.0,0.66,0.0,0.0,0.53,1.21,0.75,1.66,0.0,0.0,0.0,0.27,1.52,0
6,6,0.36,0.41,0.18,0.11,0.0,0.66,0.0,0.0,0.73,1.31,0.68,1.44,0.0,0.23,0.08,0.18,1.02,0
7,7,0.19,0.2,0.09,0.07,0.0,0.5,0.0,0.0,0.98,1.56,0.54,1.24,0.0,0.36,0.17,0.1,0.51,0
8,8,0.0,0.03,0.0,0.0,0.0,0.34,0.0,0.0,1.27,1.74,0.32,0.98,0.0,0.5,0.17,0.03,0.01,0
9,9,0.0,0.07,0.0,0.0,0.0,0.24,0.0,0.0,1.37,1.8,0.16,0.95,0.0,0.42,0.09,0.03,0.0,0
10,10,0.0,0.08,0.0,0.0,0.0,0.2,0.0,0.0,1.4,1.67,0.09,0.84,0.0,0.46,0.0,0.03,0.0,0
11,11,0.0,0.05,0.0,0.0,0.0,0.13,0.0,0.0,1.43,1.57,0.15,0.79,0.0,0.5,0.0,0.01,0.0,0
12,12,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.0,1.43,1.48,0.23,0.77,0.0,0.56,0.0,0.01,0.0,0
13,13,0.0,0.13,0.0,0.01,0.0,0.04,0.0,0.0,1.45,1.47,0.26,0.77,0.0,0.61,0.0,0.01,0.0,0
14,14,0.0,0.25,0.0,0.01,0.0,0.08,0.0,0.0,1.49,1.49,0.25,0.79,0.0,0.65,0.0,0.0,0.0,0
