,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,1.09,0.17,0.0,0.0,0.58,0.64,1.64,0.27,0.21,0.59,0.28,0.0,0.78,0.0,1.06,0.0,0.56,0
1,1,0.88,0.16,0.12,0.0,0.4,0.48,1.39,0.25,0.18,0.42,0.34,0.09,0.48,0.0,1.26,0.0,0.93,0
2,2,0.65,0.11,0.24,0.0,0.25,0.4,1.27,0.25,0.11,0.23,0.35,0.2,0.22,0.0,1.57,0.0,1.4,0
3,3,0.54,0.05,0.38,0.0,0.23,0.59,1.32,0.3,0.01,0.25,0.41,0.32,0.0,0.0,1.76,0.0,1.75,0
4,4,0.47,0.06,0.35,0.0,0.28,0.72,1.36,0.34,0.04,0.31,0.29,0.33,0.0,0.0,1.55,0.0,1.3,0
5,5,0.47,0.06,0.32,0.0,0.38,0.99,1.42,0.25,0.04,0.54,0.19,0.43,0.0,0.0,1.09,0.0,0.98,0
6,6,0.29,0.01,0.23,0.0,0.37,0.89,1.27,0.13,0.03,0.44,0.01,0.52,0.0,0.0,0.58,0.0,0.96,0
7,7,0.21,0.0,0.24,0.0,0.24,0.83,0.98,0.0,0.0,0.37,0.0,0.64,0.0,0.0,0.19,0.0,0.89,0
8,8,0.17,0.07,0.21,0.0,0.1,0.52,0.61,0.0,0.0,0.13,0.0,0.76,0.03,0.0,0.0,0.0,0.63,0
9,9,0.24,0.12,0.25,0.0,0.01,0.43,0.44,0.0,0.0,0.08,0.0,0.83,0.03,0.01,0.0,0.0,0.36,0
10,10,0.27,0.24,0.2,0.0,0.0,0.35,0.35,0.0,0.0,0.02,0.07,0.93,0.03,0.01,0.16,0.0,0.14,0
11,11,0.27,0.35,0.19,0.0,0.04,0.46,0.33,0.0,0.0,0.05,0.09,0.93,0.0,0.01,0.27,0.0,0.07,0
12,12,0.34,0.46,0.1,0.0,0.12,0.45,0.42,0.0,0.02,0.12,0.09,1.02,0.0,0.0,0.37,0.0,0.0,0
13,13,0.37,0.56,0.04,0.0,0.22,0.29,0.43,0.0,0.1,0.22,0.06,1.07,0.0,0.0,0.53,0.0,0.0,0
14,14,0.41,0.51,0.01,0.02,0.29,0.09,0.49,0.0,0.19,0.32,0.1,1.15,0.0,0.0,0.73,0.0,0.0,0
15,15,0.41,0.6,0.08,0.08,0.32,0.0,0.36,0.0,0.2,0.39,0.19,1.25,0.0,0.0,0.96,0.0,0.0,0
16,16,0.51,0.58,0.22,0.08,0.38,0.01,0.28,0.0,0.19,0.45,0.33,1.33,0.0,0.0,0.98,0.0,0.0,0
17,17,0.57,0.65,0.35,0.07,0.41,0.01,0.19,0.0,0.18,0.47,0.44,1.37,0.0,0.0,0.99,0.0,0.0,0
18,18,0.6,0.59,0.38,0.04,0.4,0.05,0.11,0.0,0.17,0.37,0.46,1.29,0.0,0.0,1.05,0.0,0.0,0
19,19,0.48,0.56,0.3,0.11,0.33,0.08,0.06,0.0,0.1,0.25,0.33,1.19,0.0,0.0,1.0,0.01,0.0,0
