,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.0,0.0,0.3,2.41,0.0,0.0,0.06,0.0,0.0,0.46,0.0,0.0,0.16,0.0,0.13,fake
1,0.0,0.0,0.0,0.0,0.34,2.5,0.0,0.0,0.06,0.0,0.0,0.28,0.0,0.0,0.16,0.0,0.22,fake
2,0.0,0.0,0.0,0.0,0.38,2.59,0.0,0.0,0.08,0.0,0.0,0.24,0.0,0.0,0.16,0.0,0.22,fake
3,0.0,0.0,0.0,0.0,0.38,2.64,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.23,0.1,0.19,fake
4,0.0,0.0,0.0,0.0,0.36,2.71,0.0,0.0,0.13,0.0,0.0,0.31,0.0,0.0,0.31,0.25,0.12,fake
5,0.0,0.0,0.0,0.0,0.32,2.69,0.0,0.0,0.15,0.0,0.0,0.4,0.0,0.0,0.25,0.44,0.14,fake
6,0.0,0.0,0.0,0.0,0.29,2.73,0.0,0.0,0.2,0.0,0.0,0.51,0.0,0.0,0.14,0.48,0.12,fake
7,0.0,0.0,0.0,0.0,0.25,2.69,0.0,0.0,0.27,0.0,0.0,0.52,0.0,0.0,0.2,0.75,0.18,fake
8,0.0,0.0,0.0,0.0,0.24,2.77,0.0,0.0,0.34,0.0,0.0,0.54,0.0,0.0,0.29,1.27,0.17,fake
9,0.0,0.0,0.0,0.0,0.32,2.78,0.0,0.0,0.47,0.0,0.0,0.57,0.0,0.0,0.44,1.88,0.14,fake
10,0.0,0.0,0.0,0.0,0.37,2.73,0.0,0.0,0.61,0.0,0.0,0.68,0.0,0.0,0.41,2.15,0.06,fake
11,0.0,0.0,0.0,0.0,0.42,2.63,0.0,0.0,0.67,0.0,0.0,0.59,0.0,0.0,0.49,1.87,0.1,fake
12,0.0,0.0,0.0,0.0,0.38,2.57,0.0,0.0,0.65,0.0,0.0,0.59,0.0,0.01,0.4,1.42,0.12,fake
13,0.0,0.0,0.0,0.0,0.38,2.6,0.0,0.0,0.61,0.0,0.0,0.57,0.0,0.01,0.31,0.98,0.12,fake
14,0.0,0.0,0.0,0.0,0.43,2.71,0.0,0.0,0.64,0.0,0.0,0.61,0.0,0.01,0.21,0.83,0.02,fake
15,0.0,0.0,0.0,0.0,0.51,2.89,0.0,0.0,0.67,0.0,0.0,0.57,0.0,0.0,0.22,0.8,0.0,fake
16,0.0,0.0,0.0,0.0,0.6,3.03,0.0,0.0,0.69,0.0,0.0,0.48,0.0,0.0,0.25,0.78,0.0,fake
17,0.0,0.0,0.0,0.0,0.63,3.07,0.0,0.0,0.69,0.0,0.0,0.46,0.0,0.0,0.26,0.78,0.0,fake
18,0.0,0.0,0.0,0.0,0.65,3.06,0.0,0.0,0.69,0.0,0.0,0.44,0.0,0.0,0.28,0.77,0.0,fake
19,0.0,0.0,0.0,0.0,0.61,2.96,0.0,0.0,0.72,0.0,0.0,0.33,0.0,0.0,0.32,0.8,0.22,fake
20,0.0,0.0,0.0,0.0,0.5,2.82,0.0,0.0,0.74,0.0,0.0,0.25,0.0,0.0,0.41,0.78,0.53,fake
21,0.0,0.0,0.0,0.0,0.44,2.56,0.0,0.0,0.81,0.0,0.0,0.15,0.0,0.0,0.44,0.77,0.91,fake
22,0.0,0.0,0.0,0.0,0.45,2.37,0.0,0.0,0.85,0.01,0.0,0.16,0.0,0.0,0.38,0.67,0.97,fake
23,0.0,0.0,0.0,0.0,0.55,2.24,0.0,0.0,0.9,0.06,0.0,0.15,0.0,0.0,0.26,0.63,0.9,fake
24,0.0,0.0,0.0,0.0,0.63,2.33,0.0,0.0,0.88,0.09,0.0,0.14,0.0,0.0,0.24,0.61,0.7,fake
25,0.0,0.0,0.0,0.0,0.71,2.46,0.0,0.0,0.9,0.13,0.0,0.2,0.0,0.0,0.25,0.63,0.58,fake
26,0.0,0.0,0.0,0.0,0.79,2.6,0.0,0.0,0.93,0.13,0.0,0.26,0.0,0.0,0.27,0.59,0.46,fake
27,0.0,0.0,0.0,0.0,0.84,2.57,0.0,0.0,0.97,0.11,0.0,0.35,0.0,0.0,0.17,0.5,0.44,fake
