,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.0,0.41,1.55,0.97,0.06,1.02,2.45,1.08,0.0,1.26,0.0,0.0,2.38,1.06,0.26,fake
1,0.0,0.0,0.0,0.35,1.61,1.45,0.07,1.49,2.52,1.3,0.05,1.18,0.0,0.0,2.26,1.03,0.09,fake
2,0.0,0.0,0.0,0.28,1.71,1.78,0.05,1.76,2.56,1.42,0.08,1.1,0.0,0.0,2.14,0.92,0.0,fake
3,0.0,0.0,0.0,0.17,1.77,1.86,0.01,1.85,2.52,1.48,0.08,1.08,0.0,0.0,2.11,0.8,0.0,fake
4,0.0,0.0,0.0,0.17,1.79,1.82,0.0,1.88,2.53,1.43,0.05,1.04,0.0,0.03,2.07,0.82,0.0,fake
5,0.0,0.0,0.0,0.1,1.7,1.62,0.0,1.84,2.48,1.41,0.02,0.98,0.0,0.05,2.15,0.92,0.0,fake
6,0.0,0.0,0.0,0.06,1.67,1.63,0.0,1.9,2.45,1.38,0.02,1.0,0.0,0.05,2.31,1.1,0.0,fake
7,0.0,0.0,0.0,0.1,1.67,1.61,0.02,1.86,2.42,1.45,0.06,1.04,0.0,0.02,2.44,1.2,0.0,fake
8,0.0,0.0,0.0,0.15,1.72,1.77,0.02,1.93,2.45,1.49,0.11,1.13,0.0,0.0,2.53,1.28,0.0,fake
9,0.0,0.0,0.0,0.13,1.71,1.69,0.02,1.96,2.48,1.45,0.14,1.19,0.0,0.01,2.58,1.33,0.0,fake
10,0.0,0.0,0.0,0.1,1.69,1.62,0.0,2.06,2.51,1.42,0.15,1.16,0.0,0.01,2.59,1.36,0.0,fake
11,0.0,0.0,0.0,0.09,1.65,1.44,0.0,2.09,2.53,1.42,0.17,1.18,0.02,0.02,2.55,1.35,0.0,fake
12,0.0,0.0,0.0,0.07,1.62,1.38,0.0,2.08,2.52,1.46,0.14,1.19,0.02,0.03,2.42,1.28,0.0,fake
13,0.0,0.0,0.0,0.08,1.6,1.55,0.08,1.96,2.45,1.37,0.17,1.22,0.02,0.04,2.37,1.36,0.0,fake
14,0.0,0.0,0.0,0.07,1.53,1.49,0.11,1.91,2.39,1.33,0.11,1.15,0.0,0.04,2.45,1.54,0.0,fake
15,0.0,0.0,0.0,0.1,1.45,1.41,0.14,1.86,2.32,1.29,0.1,1.08,0.0,0.03,2.61,1.75,0.0,fake
16,0.03,0.0,0.0,0.16,1.4,1.18,0.12,1.85,2.29,1.24,0.07,1.04,0.06,0.02,2.84,1.91,0.0,fake
17,0.04,0.0,0.0,0.26,1.4,1.21,0.14,1.82,2.27,1.14,0.13,1.1,0.12,0.01,2.99,2.02,0.0,fake
18,0.13,0.0,0.0,0.22,1.3,1.21,0.26,1.77,2.11,1.02,0.16,0.83,0.12,0.0,3.16,2.38,0.0,fake
19,0.24,0.0,0.01,0.13,1.24,1.08,0.48,1.79,1.96,1.18,0.16,0.58,0.06,0.0,3.23,2.6,0.0,fake
20,0.37,0.0,0.23,0.0,1.19,0.88,0.8,1.83,1.71,1.41,0.24,0.44,0.0,0.0,3.01,2.76,0.0,fake
21,0.52,0.0,0.56,0.0,1.26,0.87,1.1,1.89,1.56,1.67,0.23,0.62,0.0,0.0,2.54,2.58,0.0,fake
22,0.56,0.0,0.86,0.0,1.3,1.04,1.27,2.02,1.49,1.8,0.19,0.65,0.0,0.0,2.05,2.51,0.0,fake
23,0.55,0.0,0.94,0.0,1.35,1.39,1.19,2.15,1.51,1.95,0.12,0.61,0.0,0.0,1.97,2.46,0.0,fake
24,0.61,0.0,0.96,0.0,1.37,1.66,1.05,2.36,1.45,2.12,0.38,0.65,0.2,0.0,1.97,2.47,0.0,fake
25,0.62,0.0,1.05,0.0,1.32,1.76,0.96,2.5,1.29,2.28,0.69,0.97,0.42,0.0,2.01,2.47,0.0,fake
26,0.66,0.0,1.15,0.0,1.26,1.67,1.0,2.6,1.12,2.37,0.9,1.26,0.66,0.0,1.88,2.46,0.0,fake
27,0.45,0.0,1.05,0.0,1.15,1.41,0.82,2.33,1.07,2.32,0.72,1.29,0.67,0.0,1.92,2.32,0.0,fake
28,0.33,0.0,1.04,0.0,1.08,1.19,0.68,2.0,1.08,2.22,0.61,1.08,0.58,0.0,1.87,2.22,0.0,fake
29,0.17,0.0,0.95,0.05,0.96,1.07,0.46,1.52,1.0,2.17,0.51,1.1,0.48,0.0,1.31,2.0,0.0,fake
30,0.2,0.0,1.02,0.07,0.87,0.89,0.4,1.13,0.88,2.17,0.57,1.33,0.34,0.0,0.63,1.77,0.0,fake
31,0.23,0.0,1.01,0.07,0.79,0.83,0.22,0.79,0.73,2.16,0.57,1.86,0.42,0.0,0.05,1.41,0.0,fake
32,0.35,0.0,1.08,0.06,0.74,0.75,0.15,0.61,0.64,2.04,0.56,2.07,0.44,0.0,0.0,1.22,0.0,fake
33,0.39,0.0,1.04,0.04,0.72,0.83,0.07,0.61,0.62,2.06,0.51,2.3,0.54,0.0,0.0,1.15,0.0,fake
34,0.37,0.0,0.84,0.04,0.69,0.81,0.04,0.58,0.63,2.11,0.46,2.34,0.57,0.0,0.0,1.14,0.0,fake
35,0.27,0.0,0.6,0.0,0.64,0.74,0.03,0.48,0.62,2.07,0.62,2.48,0.57,0.0,0.0,1.03,0.0,fake
36,0.13,0.0,0.57,0.0,0.63,0.78,0.04,0.27,0.58,2.02,0.85,2.47,0.61,0.0,0.0,0.87,0.0,fake
37,0.05,0.0,0.56,0.0,0.62,0.9,0.09,0.09,0.56,1.9,1.06,2.45,0.61,0.0,0.0,0.75,0.0,fake
38,0.03,0.0,0.6,0.0,0.67,1.06,0.14,0.01,0.55,1.94,1.09,2.36,0.59,0.0,0.0,0.65,0.0,fake
39,0.02,0.0,0.52,0.0,0.7,0.95,0.14,0.01,0.58,1.85,1.06,2.32,0.65,0.0,0.0,0.69,0.0,fake
40,0.0,0.0,0.58,0.0,0.77,0.85,0.09,0.03,0.65,1.94,0.96,2.34,0.85,0.01,0.0,0.7,0.0,fake
41,0.0,0.0,0.63,0.0,0.83,0.72,0.04,0.13,0.73,1.99,0.88,2.41,1.06,0.05,0.0,0.76,0.0,fake
42,0.0,0.0,0.72,0.0,0.84,0.65,0.02,0.32,0.82,2.1,0.9,2.46,1.15,0.14,0.0,0.84,0.0,fake
43,0.0,0.0,0.7,0.0,0.8,0.54,0.03,0.39,0.84,2.19,0.99,2.5,1.21,0.2,0.0,0.95,0.0,fake
44,0.0,0.0,0.7,0.0,0.76,0.46,0.08,0.4,0.84,2.18,1.08,2.53,1.28,0.21,0.0,0.98,0.0,fake
45,0.0,0.0,0.68,0.0,0.77,0.57,0.18,0.45,0.83,2.22,1.05,2.6,1.27,0.17,0.0,0.94,0.0,fake
46,0.0,0.0,0.67,0.0,0.78,0.64,0.25,0.58,0.83,2.14,1.03,2.63,1.13,0.16,0.0,0.91,0.0,fake
47,0.0,0.0,0.59,0.0,0.77,0.73,0.25,0.71,0.87,2.16,0.99,2.56,1.01,0.11,0.0,0.92,0.0,fake
48,0.03,0.0,0.6,0.0,0.77,0.76,0.18,0.9,0.91,2.24,0.96,2.33,0.85,0.06,0.0,0.89,0.0,fake
49,0.03,0.0,0.58,0.0,0.8,0.84,0.11,1.09,0.99,2.31,0.74,2.03,0.65,0.0,0.0,0.73,0.0,fake
50,0.03,0.0,0.61,0.0,0.83,0.88,0.07,1.26,1.04,2.41,0.58,1.84,0.51,0.0,0.0,0.59,0.0,fake
51,0.0,0.0,0.5,0.0,0.84,0.72,0.07,1.3,1.05,2.38,0.45,1.74,0.48,0.0,0.0,0.54,0.0,fake
52,0.06,0.0,0.46,0.0,0.84,0.69,0.05,1.38,1.05,2.34,0.5,1.6,0.43,0.0,0.0,0.61,0.0,fake
53,0.08,0.0,0.49,0.0,0.87,0.81,0.06,1.44,1.04,2.23,0.48,1.44,0.38,0.0,0.0,0.67,0.0,fake
54,0.08,0.0,0.6,0.0,0.91,1.11,0.05,1.41,1.03,2.14,0.49,1.36,0.35,0.0,0.13,0.93,0.0,fake
55,0.02,0.0,0.67,0.0,0.86,1.03,0.13,1.43,0.86,1.82,0.57,1.43,0.31,0.0,0.69,1.59,0.0,fake
56,0.0,0.0,0.72,0.0,0.79,0.87,0.17,1.48,0.72,1.47,0.58,1.38,0.18,0.0,1.28,2.23,0.0,fake
57,0.0,0.0,0.57,0.0,0.65,0.55,0.19,1.45,0.53,1.05,0.78,1.35,0.07,0.0,1.26,2.4,0.0,fake
58,0.0,0.0,0.45,0.0,0.58,0.49,0.15,1.38,0.51,0.9,0.94,1.23,0.0,0.0,0.82,2.16,0.0,fake
59,0.0,0.0,0.37,0.0,0.51,0.53,0.08,1.23,0.53,0.75,1.15,1.26,0.0,0.0,0.37,1.94,0.0,fake
60,0.0,0.0,0.42,0.0,0.44,0.47,0.03,1.12,0.62,0.56,1.09,1.17,0.0,0.0,0.27,1.59,0.0,fake
61,0.12,0.0,0.44,0.0,0.27,0.34,0.0,0.88,0.68,0.46,0.91,1.03,0.0,0.0,0.28,1.35,0.0,fake
62,0.3,0.0,0.3,0.0,0.15,0.06,0.0,0.68,0.68,0.42,0.68,0.89,0.0,0.0,0.25,0.85,0.0,fake
63,0.33,0.18,0.16,0.04,0.06,0.17,0.0,0.37,0.62,0.56,0.36,0.7,0.0,0.0,0.27,0.55,0.0,fake
64,0.22,0.29,0.03,0.14,0.06,0.35,0.0,0.18,0.55,0.59,0.14,0.68,0.0,0.0,0.13,0.14,0.0,fake
65,0.03,0.29,0.0,0.14,0.0,0.75,0.0,0.0,0.53,0.54,0.08,0.58,0.0,0.0,0.02,0.0,0.06,fake
66,0.0,0.21,0.0,0.1,0.0,0.79,0.0,0.0,0.55,0.46,0.15,0.48,0.0,0.0,0.0,0.0,0.3,fake
67,0.0,0.1,0.0,0.0,0.0,0.98,0.0,0.0,0.62,0.25,0.15,0.23,0.0,0.0,0.26,0.0,0.75,fake
68,0.0,0.1,0.0,0.0,0.0,0.91,0.0,0.0,0.66,0.12,0.07,0.07,0.0,0.0,0.5,0.0,1.0,fake
69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.06,fake
70,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.01,0.78,0.07,0.77,fake
71,0.03,0.0,0.0,0.15,0.0,1.14,0.0,0.03,0.67,0.0,0.0,0.0,0.0,0.07,0.75,0.07,0.47,fake
72,0.08,0.0,0.0,0.28,0.0,1.05,0.0,0.09,0.65,0.09,0.07,0.12,0.0,0.18,0.81,0.09,0.17,fake
73,0.08,0.0,0.0,0.28,0.0,0.94,0.0,0.2,0.62,0.26,0.07,0.2,0.0,0.23,0.63,0.01,0.01,fake
74,0.05,0.0,0.0,0.13,0.03,0.9,0.0,0.21,0.71,0.48,0.07,0.34,0.0,0.22,0.56,0.01,0.0,fake
75,0.0,0.0,0.0,0.0,0.07,1.12,0.0,0.2,0.78,0.7,0.01,0.37,0.0,0.12,0.36,0.0,0.0,fake
76,0.0,0.0,0.0,0.0,0.1,1.19,0.0,0.17,0.78,0.82,0.01,0.5,0.0,0.06,0.25,0.07,0.0,fake
77,0.0,0.0,0.0,0.0,0.12,1.32,0.0,0.2,0.76,0.99,0.01,0.57,0.0,0.01,0.42,0.24,0.0,fake
78,0.0,0.0,0.0,0.0,0.11,1.22,0.0,0.15,0.72,1.06,0.0,0.57,0.0,0.0,0.67,0.41,0.0,fake
79,0.0,0.0,0.0,0.0,0.14,1.14,0.0,0.18,0.71,1.27,0.0,0.57,0.0,0.0,0.82,0.4,0.0,fake
80,0.0,0.0,0.0,0.0,0.14,0.87,0.0,0.2,0.71,1.35,0.0,0.55,0.0,0.03,0.74,0.29,0.0,fake
81,0.0,0.0,0.0,0.06,0.15,0.64,0.0,0.33,0.74,1.53,0.02,0.64,0.0,0.04,0.65,0.31,0.0,fake
82,0.0,0.0,0.0,0.14,0.11,0.56,0.0,0.37,0.75,1.49,0.05,0.65,0.0,0.07,0.47,0.32,0.0,fake
83,0.0,0.0,0.0,0.26,0.06,0.63,0.0,0.39,0.75,1.45,0.09,0.67,0.0,0.04,0.27,0.3,0.0,fake
84,0.0,0.0,0.0,0.25,0.01,0.94,0.0,0.31,0.71,1.16,0.07,0.61,0.0,0.03,0.04,0.11,0.0,fake
85,0.0,0.0,0.0,0.22,0.0,1.07,0.0,0.17,0.64,0.96,0.04,0.54,0.0,0.0,0.0,0.03,0.0,fake
86,0.0,0.0,0.0,0.09,0.0,1.14,0.0,0.09,0.57,0.8,0.0,0.52,0.0,0.0,0.0,0.0,0.0,fake
87,0.0,0.0,0.0,0.12,0.0,0.89,0.0,0.19,0.62,0.86,0.05,0.52,0.0,0.0,0.16,0.06,0.0,fake
