,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.0,0.0,0.31,0.07,0.0,0.36,0.0,1.51,0.0,0.26,0.2,0.0,1.25,0.46,0.0,fake
1,0.0,0.0,0.0,0.0,0.34,0.37,0.0,0.31,0.0,1.49,0.02,0.18,0.25,0.0,1.11,0.54,0.0,fake
2,0.0,0.0,0.0,0.0,0.35,0.5,0.0,0.27,0.0,1.48,0.03,0.12,0.3,0.0,1.04,0.55,0.0,fake
3,0.0,0.0,0.0,0.0,0.36,0.71,0.0,0.3,0.0,1.35,0.01,0.15,0.2,0.07,0.83,0.53,0.0,fake
4,0.0,0.0,0.0,0.0,0.37,0.88,0.0,0.36,0.0,1.18,0.01,0.17,0.12,0.14,0.68,0.47,0.0,fake
5,0.0,0.0,0.0,0.0,0.38,1.13,0.0,0.39,0.0,1.01,0.0,0.22,0.01,0.22,0.53,0.45,0.0,fake
6,0.0,0.0,0.0,0.0,0.36,1.09,0.0,0.38,0.0,0.98,0.0,0.2,0.02,0.22,0.56,0.44,0.0,fake
7,0.0,0.0,0.0,0.0,0.35,1.04,0.0,0.36,0.0,1.0,0.0,0.27,0.02,0.14,0.57,0.51,0.05,fake
8,0.0,0.0,0.0,0.0,0.32,0.85,0.0,0.33,0.0,1.01,0.0,0.31,0.01,0.07,0.56,0.55,0.09,fake
9,0.0,0.0,0.0,0.0,0.29,0.68,0.0,0.31,0.0,1.01,0.0,0.38,0.0,0.0,0.6,0.66,0.14,fake
10,0.0,0.0,0.0,0.0,0.3,0.72,0.0,0.35,0.0,0.95,0.0,0.37,0.0,0.0,0.64,0.69,0.15,fake
11,0.0,0.0,0.0,0.0,0.28,0.63,0.0,0.37,0.0,0.9,0.0,0.32,0.0,0.0,0.72,0.76,0.12,fake
12,0.0,0.0,0.0,0.0,0.29,0.65,0.0,0.39,0.0,0.87,0.0,0.27,0.0,0.0,0.76,0.81,0.08,fake
13,0.0,0.0,0.0,0.0,0.31,0.5,0.0,0.26,0.0,0.89,0.01,0.38,0.03,0.17,0.54,0.77,0.06,fake
14,0.0,0.05,0.0,0.0,0.38,0.5,0.0,0.22,0.0,0.93,0.06,0.54,0.03,0.3,0.26,0.69,0.05,fake
15,0.0,0.05,0.0,0.0,0.43,0.45,0.0,0.16,0.0,0.94,0.15,0.68,0.03,0.43,0.0,0.59,0.04,fake
16,0.0,0.05,0.0,0.0,0.29,0.4,0.0,0.13,0.0,0.98,0.14,0.65,0.0,0.33,0.0,0.56,0.02,fake
17,0.0,0.0,0.0,0.0,0.18,0.39,0.0,0.07,0.0,0.98,0.09,0.58,0.0,0.24,0.0,0.51,0.07,fake
18,0.0,0.0,0.0,0.0,0.06,0.35,0.0,0.0,0.0,0.99,0.0,0.55,0.0,0.16,0.0,0.45,0.07,fake
19,0.0,0.0,0.0,0.0,0.1,0.34,0.0,0.0,0.0,0.98,0.0,0.52,0.0,0.14,0.0,0.41,0.05,fake
20,0.0,0.0,0.0,0.02,0.13,0.49,0.0,0.0,0.0,1.01,0.0,0.56,0.0,0.1,0.14,0.37,0.01,fake
21,0.0,0.0,0.0,0.05,0.17,0.62,0.0,0.04,0.0,1.04,0.0,0.56,0.0,0.05,0.27,0.39,0.0,fake
22,0.0,0.0,0.0,0.05,0.2,0.72,0.0,0.04,0.0,0.98,0.0,0.57,0.04,0.0,0.4,0.25,0.0,fake
23,0.0,0.0,0.0,0.02,0.23,0.6,0.0,0.04,0.0,0.95,0.0,0.56,0.04,0.0,0.36,0.15,0.0,fake
24,0.0,0.0,0.0,0.0,0.28,0.52,0.0,0.01,0.0,0.95,0.0,0.58,0.04,0.0,0.28,0.0,0.0,fake
25,0.0,0.0,0.0,0.0,0.33,0.44,0.0,0.05,0.0,0.99,0.0,0.61,0.0,0.0,0.23,0.0,0.0,fake
26,0.0,0.0,0.0,0.0,0.28,0.4,0.0,0.13,0.0,0.96,0.0,0.57,0.09,0.0,0.31,0.0,0.1,fake
27,0.0,0.0,0.0,0.0,0.21,0.38,0.0,0.15,0.0,0.93,0.0,0.51,0.18,0.0,0.46,0.0,0.15,fake
28,0.0,0.0,0.0,0.04,0.21,0.4,0.0,0.21,0.0,1.05,0.0,0.43,0.18,0.0,0.71,0.09,0.15,fake
29,0.0,0.0,0.0,0.04,0.2,0.44,0.0,0.13,0.0,1.17,0.02,0.44,0.15,0.0,0.8,0.32,0.09,fake
30,0.0,0.0,0.0,0.04,0.18,0.42,0.0,0.11,0.0,1.26,0.1,0.42,0.16,0.0,0.83,0.57,0.09,fake
31,0.0,0.0,0.0,0.0,0.07,0.35,0.0,0.02,0.0,1.24,0.15,0.42,0.25,0.0,0.73,0.7,0.13,fake
32,0.0,0.0,0.0,0.0,0.05,0.28,0.0,0.04,0.0,1.24,0.2,0.42,0.28,0.0,0.69,0.69,0.12,fake
33,0.08,0.0,0.0,0.0,0.04,0.43,0.0,0.03,0.0,1.13,0.21,0.56,0.19,0.0,0.45,0.52,0.07,fake
34,0.13,0.0,0.0,0.0,0.03,0.62,0.0,0.02,0.0,1.05,0.25,0.72,0.1,0.0,0.23,0.41,0.03,fake
35,0.16,0.0,0.0,0.0,0.03,0.76,0.0,0.0,0.0,0.9,0.25,0.85,0.0,0.0,0.0,0.25,0.02,fake
36,0.08,0.0,0.0,0.0,0.07,0.75,0.0,0.0,0.0,0.88,0.18,0.91,0.0,0.02,0.0,0.27,0.02,fake
37,0.06,0.0,0.0,0.0,0.06,0.79,0.0,0.0,0.0,0.93,0.15,0.94,0.02,0.03,0.0,0.35,0.02,fake
38,0.03,0.0,0.0,0.0,0.08,0.85,0.0,0.0,0.0,1.03,0.13,1.01,0.02,0.03,0.0,0.48,0.0,fake
39,0.07,0.0,0.0,0.0,0.04,0.89,0.0,0.0,0.0,1.1,0.16,0.95,0.06,0.01,0.0,0.6,0.0,fake
40,0.04,0.0,0.0,0.0,0.03,0.95,0.0,0.0,0.0,1.07,0.12,0.86,0.1,0.0,0.1,0.62,0.0,fake
41,0.04,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,1.12,0.08,0.71,0.18,0.0,0.23,0.62,0.0,fake
42,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,1.18,0.02,0.66,0.23,0.0,0.35,0.63,0.0,fake
43,0.01,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,1.23,0.02,0.62,0.26,0.0,0.37,0.6,0.0,fake
44,0.01,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,1.27,0.06,0.62,0.27,0.0,0.4,0.56,0.0,fake
45,0.01,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,1.15,0.09,0.57,0.21,0.0,0.52,0.34,0.0,fake
46,0.0,0.0,0.0,0.0,0.02,0.92,0.0,0.0,0.0,1.0,0.11,0.51,0.11,0.0,0.66,0.16,0.0,fake
47,0.01,0.0,0.0,0.0,0.06,0.75,0.0,0.0,0.0,0.81,0.11,0.51,0.02,0.0,0.67,0.0,0.05,fake
48,0.01,0.0,0.0,0.0,0.11,0.67,0.0,0.0,0.0,0.76,0.13,0.55,0.03,0.0,0.59,0.0,0.12,fake
49,0.01,0.0,0.0,0.01,0.09,0.6,0.0,0.0,0.0,0.73,0.13,0.54,0.03,0.0,0.54,0.12,0.31,fake
50,0.0,0.0,0.0,0.07,0.05,0.63,0.0,0.0,0.0,0.76,0.12,0.46,0.03,0.0,0.57,0.2,0.41,fake
51,0.0,0.0,0.0,0.12,0.0,0.64,0.0,0.0,0.0,0.77,0.11,0.37,0.0,0.0,0.6,0.31,0.53,fake
52,0.0,0.0,0.0,0.16,0.0,0.67,0.0,0.0,0.0,0.78,0.15,0.37,0.0,0.0,0.63,0.29,0.56,fake
53,0.0,0.0,0.0,0.14,0.0,0.54,0.0,0.0,0.0,0.8,0.18,0.37,0.0,0.0,0.67,0.47,0.57,fake
54,0.0,0.0,0.0,0.15,0.0,0.4,0.0,0.0,0.0,0.81,0.19,0.37,0.0,0.0,0.73,0.6,0.55,fake
55,0.0,0.0,0.0,0.13,0.0,0.25,0.0,0.0,0.0,0.8,0.18,0.38,0.0,0.0,0.82,0.7,0.58,fake
56,0.0,0.0,0.0,0.11,0.0,0.29,0.0,0.0,0.0,0.78,0.19,0.35,0.05,0.0,0.9,0.67,0.63,fake
57,0.0,0.0,0.0,0.09,0.0,0.33,0.0,0.0,0.0,0.77,0.25,0.32,0.08,0.0,0.97,0.66,0.67,fake
58,0.0,0.0,0.0,0.11,0.0,0.33,0.0,0.0,0.0,0.79,0.24,0.29,0.1,0.0,0.98,0.69,0.61,fake
59,0.0,0.0,0.0,0.13,0.0,0.26,0.0,0.0,0.0,0.8,0.23,0.3,0.05,0.0,0.97,0.7,0.62,fake
60,0.0,0.01,0.0,0.1,0.01,0.25,0.0,0.0,0.0,0.86,0.2,0.39,0.02,0.0,0.69,0.64,0.5,fake
61,0.0,0.04,0.0,0.04,0.03,0.21,0.0,0.0,0.0,0.9,0.23,0.48,0.0,0.0,0.4,0.6,0.42,fake
62,0.0,0.08,0.0,0.01,0.05,0.17,0.0,0.0,0.0,0.95,0.24,0.54,0.0,0.0,0.16,0.53,0.31,fake
63,0.0,0.12,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.97,0.24,0.52,0.0,0.0,0.16,0.55,0.35,fake
64,0.0,0.12,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.98,0.2,0.49,0.0,0.0,0.16,0.57,0.32,fake
